,prec_no,県,No,i,地点名,block_no,緯度（度、分),緯度（度、分)2,経度（度、分),経度（度、分)2,標高(m)
82,32,秋田,330,10,"""男鹿本山""",189,39,53.5,139,46.0,440.0
83,32,秋田,331,11,"""秋田""",47582,39,43.0,140,5.9,6.3
84,32,秋田,332,12,"""太平山""",191,39,47.0,140,15.0,600.0
85,32,秋田,333,13,"""岩見三内""",192,39,42.4,140,17.2,41.0
86,32,秋田,334,14,"""角館""",193,39,36.2,140,33.4,56.0
87,32,秋田,335,15,"""田沢湖""",194,39,41.9,140,43.9,230.0
88,32,秋田,336,16,"""大曲""",195,39,29.4,140,29.7,30.0
89,32,秋田,337,17,"""本荘""",196,39,21.6,140,3.3,11.0
90,32,秋田,338,18,"""保呂羽山""",197,39,22.1,140,19.0,340.0
91,32,秋田,339,19,"""横手""",198,39,19.2,140,33.3,59.0
92,32,秋田,340,20,"""にかほ""",199,39,15.3,139,54.8,7.0
93,32,秋田,341,21,"""矢島""",200,39,14.1,140,8.2,46.0
94,32,秋田,342,22,"""三森山""",201,39,13.3,140,43.0,570.0
95,32,秋田,343,23,"""湯沢""",202,39,11.2,140,27.8,74.0
96,32,秋田,344,24,"""姥井戸山""",203,39,5.6,140,20.1,690.0
97,32,秋田,345,25,"""湯の岱""",204,38,57.6,140,31.7,335.0
98,32,秋田,346,26,"""大館""",912,40,15.1,140,30.3,49.0
99,32,秋田,347,27,"""大潟""",1035,40,0.0,139,57.0,-3.0
100,32,秋田,348,28,"""男鹿""",1036,39,54.7,139,54.0,20.0
101,32,秋田,349,29,"""八森""",1043,40,24.8,139,56.9,34.0
102,32,秋田,350,30,"""大正寺""",1050,39,31.6,140,14.0,20.0
103,32,秋田,351,31,"""東成瀬""",1109,39,10.7,140,38.9,191.0
104,32,秋田,352,32,"""比立内""",1115,39,54.2,140,27.0,210.0
105,32,秋田,353,33,"""東由利""",1117,39,18.3,140,17.3,117.0
106,32,秋田,354,34,"""阿仁合""",1131,39,59.6,140,24.2,120.0
107,32,秋田,355,35,"""鎧畑""",1167,39,46.5,140,39.9,281.0
108,32,秋田,356,36,"""藤里""",1273,40,19.2,140,17.6,68.0
109,32,秋田,357,37,"""桧木内""",1278,39,48.7,140,35.1,255.0
110,32,秋田,358,38,"""八幡平""",1289,40,0.8,140,48.1,578.0
111,32,秋田,359,39,"""笹子""",1407,39,6.2,140,17.6,200.0
112,32,秋田,360,40,"""藤原""",1408,40,21.3,140,46.8,280.0
113,32,秋田,361,41,"""男鹿真山""",1422,39,56.3,139,46.9,84.0
114,32,秋田,362,42,"""仁別""",1425,39,48.0,140,13.0,179.0
115,32,秋田,363,43,"""脇神""",1463,40,11.5,140,22.3,84.0
116,32,秋田,364,44,"""雄和""",1511,39,36.9,140,13.1,91.0
117,32,秋田,365,45,"""田沢湖高原""",1652,39,46.7,140,45.7,652.0
118,33,岩手,366,1,"""種市""",205,40,24.2,141,42.0,70.0
119,33,岩手,367,2,"""軽米""",206,40,19.0,141,28.4,153.0
120,33,岩手,368,3,"""二戸""",207,40,17.9,141,17.9,87.0
121,33,岩手,369,4,"""折爪岳""",208,40,15.8,141,22.5,844.0
122,33,岩手,370,5,"""久慈""",209,40,10.1,141,44.9,13.0
123,33,岩手,371,6,"""西岳""",210,40,5.0,141,10.4,1008.0
124,33,岩手,372,7,"""葛巻""",211,40,2.4,141,27.4,418.0
125,33,岩手,373,8,"""袖山""",212,40,1.5,141,31.5,1144.0
126,33,岩手,374,9,"""茶臼岳""",213,39,56.7,140,54.3,1443.0
127,33,岩手,375,10,"""岩手松尾""",214,39,57.1,141,3.9,275.0
128,33,岩手,376,11,"""岩手山""",215,39,50.4,140,57.0,1403.0
129,33,岩手,377,12,"""岩洞""",216,39,49.5,141,22.5,678.0
130,33,岩手,378,13,"""大森山""",217,39,49.1,141,31.2,1073.0
131,33,岩手,379,14,"""岩泉""",218,39,50.8,141,47.7,105.0
132,33,岩手,380,15,"""駒ケ岳""",219,39,44.0,140,47.5,1003.0
133,33,岩手,381,16,"""害鷹森""",220,39,42.5,141,36.2,1278.0
134,33,岩手,382,17,"""雫石""",221,39,41.8,140,58.5,195.0
135,33,岩手,383,18,"""盛岡""",47584,39,41.9,141,9.9,155.2
136,33,岩手,384,19,"""宮古""",47585,39,38.8,141,57.9,42.5
137,33,岩手,385,20,"""薬師岳""",224,39,31.7,141,29.8,1604.0
138,33,岩手,386,21,"""黒森山""",225,39,29.7,140,47.5,644.0
139,33,岩手,387,22,"""豊沢""",226,39,28.8,140,58.1,300.0
140,33,岩手,388,23,"""花巻""",227,39,25.7,141,8.1,90.0
141,33,岩手,389,24,"""大迫""",228,39,28.2,141,16.7,150.0
142,33,岩手,390,25,"""湯田""",229,39,18.6,140,46.6,250.0
143,33,岩手,391,26,"""北上""",230,39,17.3,141,6.6,61.0
144,33,岩手,392,27,"""遠野""",231,39,20.3,141,32.6,275.0
145,33,岩手,393,28,"""五葉山""",232,39,10.6,141,39.7,560.0
146,33,岩手,394,29,"""釜石""",233,39,16.2,141,52.7,5.0
147,33,岩手,395,30,"""岳山""",234,39,8.0,140,52.6,973.0
148,33,岩手,396,31,"""若柳""",235,39,8.4,141,3.8,97.0
149,33,岩手,397,32,"""江刺""",236,39,11.0,141,9.7,42.0
150,33,岩手,398,33,"""大船渡""",47512,39,3.8,141,42.8,36.9
151,33,岩手,399,34,"""一関""",238,38,56.0,141,7.5,32.0
152,33,岩手,400,35,"""千厩""",239,38,55.3,141,19.8,120.0
153,33,岩手,401,36,"""室根山""",240,38,58.2,141,27.0,883.0
154,33,岩手,402,37,"""祭畤""",1028,39,0.7,140,51.9,350.0
155,33,岩手,403,38,"""好摩""",1032,39,52.1,141,10.0,205.0
156,33,岩手,404,39,"""山田""",1033,39,27.0,141,57.4,24.0
157,33,岩手,405,40,"""大野""",1037,40,16.9,141,40.0,200.0
158,33,岩手,406,41,"""衣川""",1045,39,3.0,141,2.7,75.0
159,33,岩手,407,42,"""薮川""",1078,39,47.0,141,19.7,680.0
160,33,岩手,408,43,"""米里""",1113,39,14.0,141,18.6,170.0
161,33,岩手,409,44,"""沢内""",1118,39,28.8,140,47.8,327.0
162,33,岩手,410,45,"""荒屋""",1120,40,6.2,141,3.0,290.0
163,33,岩手,411,46,"""普代""",1123,40,0.2,141,53.0,8.0
164,33,岩手,412,47,"""紫波""",1128,39,32.8,141,7.6,125.0
165,33,岩手,413,48,"""葛根田""",1168,39,46.6,140,56.7,350.0
166,33,岩手,414,49,"""住田""",1206,39,8.5,141,34.4,80.0
167,33,岩手,415,50,"""小本""",1212,39,50.8,141,57.8,3.0
168,33,岩手,416,51,"""奥中山""",1215,40,3.6,141,13.5,430.0
169,33,岩手,417,52,"""山形""",1219,40,8.9,141,34.3,290.0
170,33,岩手,418,53,"""川井""",1224,39,35.9,141,40.9,192.0
171,33,岩手,419,54,"""門馬""",1225,39,38.0,141,26.2,620.0
172,33,岩手,420,55,"""下戸鎖""",1332,40,5.0,141,42.7,239.0
